cpc.3digit;hs.6digit
2;10121
2;10129
2;10130
2;10190
2;10221
2;10229
2;10231
2;10239
2;10290
2;10310
2;10391
2;10392
2;10410
2;10420
2;10511
2;10512
2;10513
2;10514
2;10515
2;10594
2;10599
2;10611
2;10612
2;10613
2;10614
2;10619
2;10620
2;10631
2;10632
2;10633
2;10639
2;10641
2;10649
2;10690
21;20110
21;20120
21;20130
21;20210
21;20220
21;20230
21;20311
21;20312
21;20319
21;20321
21;20322
21;20329
21;20410
21;20421
21;20422
21;20423
21;20430
21;20441
21;20442
21;20443
21;20450
21;20500
21;20610
21;20621
21;20622
21;20629
21;20630
21;20641
21;20649
21;20680
21;20690
21;20711
21;20712
21;20713
21;20714
21;20724
21;20725
21;20726
21;20727
21;20741
21;20742
21;20743
21;20744
21;20745
21;20751
21;20752
21;20753
21;20754
21;20755
21;20760
21;20810
21;20830
21;20840
21;20850
21;20860
21;20890
21;20910
21;20990
21;21011
21;21012
21;21019
21;21020
21;21091
21;21092
21;21093
21;21099
4;30111
4;30119
4;30191
4;30192
4;30193
4;30194
4;30195
4;30199
4;30211
4;30213
4;30214
4;30219
4;30221
4;30222
4;30223
4;30224
4;30229
4;30231
4;30232
4;30233
4;30234
4;30235
4;30236
4;30239
4;30241
4;30242
4;30243
4;30244
4;30245
4;30246
4;30247
4;30251
4;30252
4;30253
4;30254
4;30255
4;30256
4;30259
4;30271
4;30272
4;30273
4;30274
4;30279
4;30281
4;30282
4;30283
4;30284
4;30285
4;30289
21;30290
21;30311
21;30312
21;30313
21;30314
21;30319
21;30323
21;30324
21;30325
21;30326
21;30329
21;30331
21;30332
21;30333
21;30334
21;30339
21;30341
21;30342
21;30343
21;30344
21;30345
21;30346
21;30349
21;30351
21;30353
21;30354
21;30355
21;30356
21;30357
21;30363
21;30364
21;30365
21;30366
21;30367
21;30368
21;30369
21;30381
21;30382
21;30383
21;30384
21;30389
21;30390
21;30431
21;30432
21;30433
21;30439
21;30441
21;30442
21;30443
21;30444
21;30445
21;30446
21;30449
21;30451
21;30452
21;30453
21;30454
21;30455
21;30459
21;30461
21;30462
21;30463
21;30469
21;30471
21;30472
21;30473
21;30474
21;30475
21;30479
21;30481
21;30482
21;30483
21;30484
21;30485
21;30486
21;30487
21;30489
21;30491
21;30492
21;30493
21;30494
21;30495
21;30499
21;30510
21;30520
21;30531
21;30532
21;30539
21;30541
21;30542
21;30543
21;30544
21;30549
21;30551
21;30559
21;30561
21;30562
21;30563
21;30564
21;30569
21;30571
21;30572
21;30579
21;30611
21;30612
21;30614
21;30615
21;30616
21;30617
21;30619
4;30621
4;30622
4;30624
4;30625
4;30626
4;30627
4;30629
4;30711
21;30719
4;30721
21;30729
4;30731
21;30739
4;30741
21;30749
4;30751
21;30759
2;30760
4;30771
21;30779
4;30781
21;30789
4;30791
21;30799
4;30811
21;30819
4;30821
21;30829
4;30830
4;30890
22;40110
22;40120
22;40140
22;40150
22;40210
22;40221
22;40229
22;40291
22;40299
22;40310
22;40390
22;40410
22;40490
22;40510
22;40520
22;40590
22;40610
22;40620
22;40630
22;40640
22;40690
2;40711
2;40719
2;40721
2;40729
22;40790
23;40811
23;40819
23;40891
23;40899
2;40900
2;41000
38;50100
39;50210
39;50290
21;50400
39;50510
39;50590
39;50610
39;50690
39;50710
39;50790
4;50800
39;51000
2;51110
21;51191
4;51199
1;60110
1;60120
1;60210
1;60220
1;60230
1;60240
1;60290
1;60311
1;60312
1;60313
1;60314
1;60315
1;60319
1;60390
3;60420
3;60490
1;70110
1;70190
1;70200
1;70310
1;70320
1;70390
1;70410
1;70420
1;70490
1;70511
1;70519
1;70521
1;70529
1;70610
1;70690
1;70700
1;70810
