cpc;cpc.digit.level;cpc.name
01;2;Agriculture & horticulture products
011;3;Cereals
012;3;Vegetables
013;3;Fruits & nuts
014;3;Oilseeds & oleaginous fruits
015;3;Edible roots & tubers with high starch or inulin content
016;3;Stimulant, spice & aromatic crops
017;3;Pulses (dried leguminous vegetables)
018;3;Sugar crops
019;3;"Forage; natural rubber; living plants; raw vegetable materials"
02;2;Live animals & animal products (excl. meat)
021;3;Live animals
022;3;Raw milk
023;3;Eggs of hens or other birds in shell, fresh
024;3;Reproductive materials of animals
029;3;Other animal products
03;2;Forestry & logging products
031;3;Wood in the rough
032;3;Non-wood forest products
04;2;Fish & fish products
041;3;Fish, live, not for human consumption
042;3;Fish live, fresh or chilled for human consumption
043;3;Crustaceans, live, fresh or chilled
044;3;Molluscs live, fresh or chilled
045;3;Other aquatic invertebrates, live, fresh or chilled
049;3;Other aquatic plants & animals
11;2;Coal & peat
110;3;Coal & peat
12;2;Crude petroleum & natural gas
120;3;Crude petroleum & natural gas
13;2;Uranium & thorium ores incl. concentrates
130;3;Uranium & thorium ores & concentrates
14;2;Metal ores
141;3;Iron ores & concentrates, other than roasted iron pyrites
142;3;Non-ferrous metal ores & concentrates
15;2;Stone, sand & clay
151;3;Monumental or building stone
152;3;"Gypsum; anhydrite; limestone (flux) & other calcareous stone"
153;3;Sands, pebbles, gravel, natural bitumen & asphalt
154;3;Clays
16;2;Salt, precious stones & fertilizers
161;3;Chemical & fertilizer minerals
162;3;"Salt & pure sodium chloride; sea water"
163;3;"Precious & semi-precious stones; natural abrasives; other minerals"
17;2;Electricity, steam & gas
171;3;Electrical energy
172;3;Coal gas, water gas, producer gas & similar gases (excl. fuels)
173;3;Steam & hot water
174;3;Ice & snow
18;2;Natural water
180;3;Natural water
21;2;Meat, fish, fruits, vegetables, oils & fats
211;3;Meat & meat products
212;3;Prepared & preserved fish, crustaceans, molluscs
213;3;Prepared & preserved vegetables, pulses & potatoes
214;3;Prepared & preserved fruits & nuts
215;3;Animal fats
216;3;Vegetable oils
217;3;Margarine & similar preparations
218;3;Cotton linters
219;3;"Oil-cake; flours & meals of oil seeds; vegetable waxes; etc."
22;2;Dairy & egg products
221;3;Processed liquid milk, cream & whey
222;3;Other dairy products
223;3;Eggs, in shell, preserved or cooked
23;2;Bakery, grain mill & starch products
231;3;Grain mill products
232;3;"Starches & starch products; sugars & sugar syrups n.e.c."
233;3;"Preparations used in animal feeding; lucerne meal & pellets"
234;3;Bakery products
235;3;Sugar & molasses
236;3;Cocoa, chocolate & sugar confectionery
237;3;Macaroni, noodles, couscous & similar farinaceous products
239;3;Food products n.e.c.
24;2;Beverages
241;3;"Ethyl alcohol; spirits, liqueurs & spirits"
242;3;Wines
243;3;Malt liquors & malt
244;3;"Soft drinks; bottled mineral waters"
25;2;Tobacco products
250;3;Tobacco products
26;2;Yarn & woven textile fabrics
261;3;Natural textile fibres prepared for spinning
262;3;Man-made textile staple fibres processed for spinning
263;3;Textile yarn & thread of natural fibres
264;3;Textile yarn & thread of man-made filaments or staple fibres
265;3;Woven fabrics of natural non-cotton fibres
266;3;Woven fabrics (except special fabrics) of cotton
267;3;Woven fabrics of man-made filaments & staple fibres
268;3;Special fabrics
27;2;Textile articles other than apparel
271;3;Made-up textile articles
272;3;Carpets & other textile floor coverings
273;3;"Twine, cordage, ropes & cables; articles thereof"
279;3;Textiles n.e.c.
28;2;Wearing apparel & knitted fabrics
281;3;Knitted or crocheted fabrics
282;3;Wearing apparel, except fur apparel
283;3;"Furskins & artificial fur; articles thereof"
29;2;Leather and footwear
291;3;"Tanned or dressed leather; composition leather"
